time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.05356378292e-07,-9.58802855071e-08,10.0041008589,6.28295186146,0.000275285858243,0.0,-2.63595874043e-05,-1.41999315404e-05,0.136687974349,-0.0131036332965,0.0124691018374,0.0,447.7426841893616,448.75572678050275,449.0611511725872,447.9972194933777
0.12000000000000001,-1.14804577531e-05,-9.74855824581e-06,10.0180750228,6.28224768947,0.000784934934716,0.0,-0.00042062907952,-0.000393607029749,0.329081039578,-0.00913275785409,-0.000958462327807,0.0,466.43834144640226,465.3886053573281,464.58782186587905,464.8991341872817
0.18,-5.35398489094e-05,-5.52410461472e-05,10.0411558356,6.28138000111,0.00119164219507,0.0,-0.00100284293755,-0.00119302942536,0.44024238587,-0.0281238216207,0.0189499498789,0.0,439.65432387507127,441.30038264641115,441.4246369776273,439.8550099845476
0.23999999999999996,-0.000144018482062,-0.000172514649098,10.07149097,6.2793039914,0.00238724129013,0.0,-0.00213736659799,-0.00291117689113,0.57087133209,-0.0525012515762,0.0218116490429,0.0,447.1440545397391,447.3770543100792,447.2078056784624,445.21741815996813
0.3,-0.000326653434156,-0.000439199391568,10.1088016505,6.27656320448,0.00342122804698,0.0,-0.00407226941627,-0.00627663866219,0.672761245854,-0.0346856532858,0.00599080675906,0.0,438.5589176783307,437.24299509466636,437.0737993313198,438.55451237762645
0.36000000000000004,-0.000663219684359,-0.00100133015742,10.1579839449,6.27410617391,0.00351762461659,0.0,-0.00717815697557,-0.0127502318883,0.966444920836,-0.0580090728412,-0.00904702468733,0.0,495.59093480873804,494.4845355276336,495.94429324216765,494.2276567335414
0.4200000000000001,-0.00117951620014,-0.00201015090729,10.2233945475,6.27070400353,0.00279859209778,0.0,-0.00995378960006,-0.0213007661214,1.21367502376,-0.054211581027,-0.0186214139761,0.0,482.6865788464453,481.96370752933007,482.1723924776103,482.45723389917026
0.48000000000000015,-0.00183187375924,-0.00356673222443,10.2998529636,6.26756601136,0.00137491174935,0.0,-0.0116604036067,-0.0309191854561,1.33480062188,-0.0487283638293,-0.0366474917296,0.0,446.1925143257122,444.71848793283624,444.4126876498826,444.8600665822702
0.5400000000000001,-0.00255283454577,-0.00577226629623,10.3839738786,6.26482678353,6.28265895811,0.0,-0.0121535534515,-0.0428985014055,1.46906172724,-0.0401235065211,-0.0232627196448,0.0,449.9807654524898,451.06249690832794,447.99087540543985,448.688715299957
0.6000000000000002,-0.00326532227845,-0.00875399955828,10.4762400153,6.26352344272,6.28157874013,0.0,-0.0114648581438,-0.0566735544646,1.60628935693,0.000990043322096,-0.00914666385413,0.0,449.95561910953626,451.09689854005666,449.23747496085565,452.5583510473946
0.6600000000000003,-0.00391891119498,-0.0125909366645,10.5772424386,6.26449926115,6.28294823211,0.0,-0.010403185575,-0.0711517071921,1.76023481809,0.0363757787982,0.0537744726569,0.0,454.52563514317137,459.54033368430095,454.01908311307295,456.8490672272236
0.7200000000000003,-0.00455054389093,-0.0172414209712,10.6860638546,6.2668746082,0.00270121807831,0.0,-0.0109710688911,-0.0836262123559,1.86698106512,0.0453440058797,0.0370341650879,0.0,442.31322190922924,440.93397342759397,442.2053482670742,442.9442324607284
0.7800000000000004,-0.00527596235185,-0.0225950344951,10.8016677926,6.26936032294,0.00565360438316,0.0,-0.0134877204866,-0.0945502762228,1.98628694674,0.0321492815168,0.0663720448453,0.0,445.7328066714615,448.1251912262999,446.38943165696156,445.31235788798597
0.8400000000000004,-0.00625088596837,-0.0286169300266,10.929098601,6.27153683866,0.00969426851142,0.0,-0.019519361103,-0.105909418201,2.26090523491,0.043459544679,0.0692205504884,0.0,492.71661480823883,492.93005446099113,492.43254047787,493.26887699055055
0.9000000000000005,-0.00764861304624,-0.0352136399216,11.068756178,6.27415172827,0.0136422751832,0.0,-0.0275028680075,-0.113699167205,2.3940763713,0.0438242114587,0.0578938045227,0.0,452.7087379162331,451.79955625122966,452.13007302464706,452.1604788367933
0.9600000000000005,-0.00965257405976,-0.0422465457177,11.2193858107,6.27682159727,0.018090499744,0.0,-0.0397840579369,-0.120405024684,2.62640295485,0.0458117143148,0.0950843673102,0.0,481.1211800752629,483.93210065460534,482.0437466008816,482.1948679256838
1.0200000000000005,-0.0124293561566,-0.0495904660144,11.3796497449,6.27939384425,0.024071938571,0.0,-0.0533591987795,-0.124123692311,2.71551058814,0.0362248628513,0.10759276059,0.0,439.73813652512314,440.7816527416322,440.38240635017013,439.58973551323254
1.0800000000000005,-0.0161474570243,-0.0571077758106,11.5453579727,6.28138650549,0.0306302163818,0.0,-0.0712283079751,-0.126241965381,2.80785792761,0.0263763875982,0.112522917404,0.0,441.75044959064707,442.16739754032494,441.6926212074544,440.88010235396797
1.1400000000000006,-0.0211182952744,-0.0647159215347,11.7180348122,6.28277441871,0.0371882200091,0.0,-0.095173904743,-0.127201360534,2.94766255985,0.015692436933,0.101924489867,0.0,457.4075002176988,456.5728261682304,457.17349216046443,456.3214557329678
1.2000000000000006,-0.0276372980303,-0.0723524935213,11.8983118444,0.00133286927709,0.0437650646002,0.0,-0.122777990549,-0.127202887753,3.06124678291,0.0474143649844,0.121717140158,0.0,449.77839906111967,451.38874338897114,447.29879464110957,449.87495414676624
